country,year,S_proxy,N_proxy,R_proxy,Crisis,_N_stability,N_noise,_S,_N_raw,_N,_R,E
FRA,1999,,,9.13,0.0731429180432678,0.5,0.5,0.5,0.5,0.5,0.22823791142215843,0.22823791142215843
FRA,2000,1.63705730438232,0.785089075565338,14.3079,0.016202005639536,0.7710205591097468,0.22897944089025324,0.9159355811045576,0.2321845558483542,0.2321845558483542,0.27515578817500685,1.0854510792740304
FRA,2001,,,26.3259,0.0182609602251989,0.5,0.5,0.5,0.5,0.5,0.45244693295897664,0.45244693295897664
FRA,2002,1.54408168792725,0.924183249473572,30.18,0.0038293856364699,0.8703800605206058,0.1296199394793942,0.8697524857071773,0.13429326503492653,0.13429326503492653,0.476790464513255,1.5
FRA,2003,1.6510945558548,0.179551064968109,36.14,0.0049236095734614,0.6381395333892985,0.3618604666107015,0.9113658333397361,0.3724633127657386,0.3724633127657386,0.5315912169968493,1.3007296446915535
FRA,2004,1.75563025474548,0.345115303993225,39.15,0.0071044823201205,0.7324936505814761,0.2675063494185239,0.9188691891358068,0.2669235681046521,0.2669235681046521,0.5644283180960383,1.5
FRA,2005,1.66645479202271,0.399723917245865,42.87,0.012706531809759,0.732897386955087,0.267102613044913,0.9301160100195955,0.26239397383869983,0.26239397383869983,0.5747454053736715,1.5
FRA,2006,1.62847626209259,0.595505774021149,46.87,0.0162437751956385,0.7641658157193342,0.23583418428066583,0.9267843293469438,0.2306128347770594,0.2306128347770594,0.6199133100648088,1.5
FRA,2007,1.46457493305206,0.563000798225403,66.09,0.02560009702307,0.777551605749504,0.222448394250496,0.8501038449196007,0.23041175569232336,0.23041175569232336,0.8689340188904805,1.5
FRA,2008,1.57403433322906,0.543759167194366,70.68,0.0406430974573934,0.7638754164626655,0.23612458353733445,0.8979444333054497,0.23870905175996182,0.23870905175996182,0.8952674379611,1.5
FRA,2009,1.47705447673798,0.512012898921967,71.58,0.0956189760921275,0.7567585752265863,0.2432414247734137,0.8801360615731539,0.24079169503637832,0.24079169503637832,0.8622689723239999,1.5
FRA,2010,1.46266102790833,0.681087553501129,77.28,0.0234438647895364,0.885235533403182,0.11476446659681805,0.8528906242705179,0.1145019823967059,0.1145019823967059,0.909097716211157,1.5
FRA,2011,1.39230680465698,0.602992832660675,77.82,0.0055798975874995,0.80302530418525,0.19697469581475002,0.8391143715595227,0.19683135655730047,0.19683135655730047,0.8972821085841987,1.5
FRA,2012,1.37338125705719,0.554941534996033,81.44,0.0022902341932494,0.7620727516386964,0.23792724836130363,0.8482785803632551,0.24106855538010577,0.24106855538010577,0.9377773137756432,1.5
FRA,2013,1.48205244541168,0.448744118213654,81.9198,0.0568142251069063,0.7024102995179926,0.2975897004820074,0.890865057505684,0.3141611800037947,0.3141611800037947,0.8792502736987384,1.5
FRA,2014,1.41287088394165,0.300568491220474,83.7511,0.0746120588531018,0.6144227385085039,0.38557726149149607,0.8165629485182763,0.3773364488579771,0.3773364488579771,0.8878551268729549,1.5
FRA,2015,1.41732227802277,0.0977598056197166,78.006,0.0981242809743735,0.5087187718591432,0.49128122814085684,0.840643682722427,0.48315948755126953,0.48315948755126953,0.7640421147661786,1.329348162792553
FRA,2016,1.38062357902527,-0.106349594891071,79.2698,0.0908332569438085,0.4072477166709581,0.592752283329042,0.8132427444111362,0.583375228615409,0.583375228615409,0.7442995969822036,1.037576189771596
