country,year,S_proxy,N_proxy,R_proxy,Crisis
IND,2023,0.47511014342308,-0.635076940059662,,0.18245715945396448
IND,2024,,,,0.147651775486826
JPN,1996,0.910290777683258,1.16188979148865,4.37,0.0931699820712029
JPN,1997,,,9.16,0.012609770653935504
JPN,1998,1.01681685447693,1.24767482280731,13.4,0.06690129043070306
JPN,1999,,,21.4,0.11706484641638011
JPN,2000,1.14183568954468,1.19755268096924,29.9907,0.133828934179754
JPN,2001,,,38.5321,0.13700277520814058
JPN,2002,1.0168479681015,1.17602252960205,46.5942,0.1461747013471143
JPN,2003,1.15746104717255,1.0271201133728,48.4353,0.112827090815803
JPN,2004,1.34332299232483,1.02831530570984,62.3939,0.10042866941015302
JPN,2005,1.28548622131348,1.03576946258545,66.9211,0.11414730343822146
JPN,2006,1.5849609375,1.13833451271057,68.6853,0.08753224419604475
JPN,2007,1.44125950336456,1.01037454605103,74.3,0.09699802727506728
JPN,2008,1.45174884796143,0.894625246524811,75.4,0.030996056917536995
JPN,2009,1.45010435581207,0.976251900196075,78.0,0.1676418364758615
JPN,2010,1.52235090732574,0.879353165626526,78.21,0.1364121603758883
JPN,2011,1.46691274642944,0.99509197473526,79.0541,0.11362278080506225
JPN,2012,1.40798962116241,0.948442876338959,79.4964,0.10220322552216303
JPN,2013,1.61050939559937,1.01914191246033,88.2194,0.0832481043907614
JPN,2014,1.80541300773621,0.96859735250473,89.1068,0.0379613356766265
JPN,2015,1.75316548347473,1.05422055721283,91.058,0.0602360184710108
JPN,2016,1.78482556343079,0.968189001083374,93.1827,0.10636294222448558
JPN,2017,1.57989025115967,1.10012805461884,91.7265,0.0757900101936789
JPN,2018,1.63458871841431,1.03756272792816,88.7464,0.05054527009890945
JPN,2019,1.55003654956818,1.01981234550476,92.7304,0.07656119203080361
JPN,2020,1.5473005771637,1.02614521980286,90.2195,0.10124979170138411
JPN,2021,1.36116814613342,1.0155017375946,82.9141,0.1116676389699155
JPN,2022,1.61941540241241,1.0326372385025,84.9234,0.024885139086125507
JPN,2023,1.63126504421234,0.951136231422424,86.9815,0.063406682966582
JPN,2024,,,,0.0369268408176215
RUS,1996,-0.452226608991623,-1.17785394191742,0.27,1.0
RUS,1997,,,0.473,0.638066463440295
RUS,1998,-0.662553489208221,-1.08974099159241,0.813,1.0
RUS,1999,,,1.02,1.0
RUS,2000,-0.673456251621246,-1.39924204349518,1.97723,0.93993803279352
RUS,2001,,,2.94437,0.97385036058579
RUS,2002,-0.376179724931717,-0.724512279033661,4.12827,0.689436539572315
RUS,2003,-0.499138176441193,-1.19315183162689,8.29886,0.58316465114333
RUS,2004,-0.484211027622223,-1.51459443569183,12.8594,0.44443078663108004
RUS,2005,-0.526238322257996,-1.2677013874054,15.2267,0.534265197536745
RUS,2006,-0.468877643346786,-0.908794343471527,18.0233,0.38343272739463147
RUS,2007,-0.412203580141068,-0.863382518291473,24.66,0.35036493443054006
RUS,2008,-0.416781842708588,-0.749933898448944,32.0,0.6055383892022099
RUS,2009,-0.497236013412476,-0.969926595687866,42.55,0.48236647882059
RUS,2010,-0.601686894893646,-0.929458737373352,49.0,0.24246961512751247
RUS,2011,-0.601444661617279,-0.998262107372284,58.0,0.3220232429662845
RUS,2012,-0.534914612770081,-0.817712664604187,66.0,0.153737150399574
RUS,2013,-0.452954411506653,-0.736093640327454,67.97,0.23768551311047398
RUS,2014,-0.195760622620583,-0.943617463111877,70.5176,0.2911705919327535
RUS,2015,-0.332078844308853,-1.03222346305847,70.0992,0.67672025264202
RUS,2016,-0.324105769395828,-0.947688162326813,73.0914,0.252122381477397
RUS,2017,-0.191041514277458,-0.642759621143341,76.0081,0.0841664722061165
RUS,2018,-0.103785149753094,-0.538330912590027,80.8647,0.04391486182394251
RUS,2019,0.0241736769676208,-0.551088750362396,82.6422,0.12351833038008801
RUS,2020,-0.111088737845421,-0.667407393455505,84.9947,0.069082968618948
RUS,2021,-0.210440874099731,-0.707898318767548,88.2138,0.2347229459788065
RUS,2022,-0.696263790130615,-1.00599670410156,90.418,
RUS,2023,-0.712461888790131,-1.13433384895325,92.245,
RUS,2024,,,94.365,
USA,1996,1.52492046356201,0.935005784034729,16.4,0.0465602099967205
USA,1997,,,21.6,0.016884496865367506
USA,1998,1.6985274553299,0.879612982273102,30.1,0.022386045062818005
USA,1999,,,35.8,0.009401359848679004
USA,2000,1.72488653659821,1.08280909061432,43.0792,0.0688428635749645
USA,2001,,,49.0808,0.04130855594270351
USA,2002,1.62092781066895,0.285476922988892,58.7854,0.020698418674699504
USA,2003,1.54012453556061,0.0804403498768806,61.6971,0.013504748668057509
USA,2004,1.74025785923004,-0.233039826154709,64.7583,0.03386183465458601
USA,2005,1.53101277351379,-0.0605432577431202,67.9681,0.069637342274775
USA,2006,1.5816855430603,0.49083548784256,68.9312,0.061297205035201995
USA,2007,1.64327275753021,0.374478042125702,75.0,0.04263362407506901
USA,2008,1.60507559776306,0.582659542560577,74.0,0.09195501483255
USA,2009,1.50298464298248,0.447313606739044,71.0,0.11777731331498735
USA,2010,1.55227208137512,0.438403934240341,71.69,0.017997827880505003
USA,2011,1.5137984752655,0.591247260570526,69.7295,0.05784207843110001
USA,2012,1.5213223695755,0.632442116737366,74.7,0.0034668632630334927
USA,2013,1.51647663116455,0.643072605133057,71.4,0.0267583672186415
USA,2014,1.46162545681,0.582419633865356,73.0,0.0188888511295915
USA,2015,1.43219923973083,0.662890195846558,74.5542,0.09406864322237744
USA,2016,1.44050490856171,0.385635316371918,85.5444,0.036920839714732
USA,2017,1.51742815971375,0.262138307094574,87.2749,0.006505500182980506
USA,2018,1.53697216510773,0.38623908162117,88.4989,0.0221291648464085
USA,2019,1.45341503620148,0.118298575282097,89.4303,0.009389496236989503
USA,2020,1.27459323406219,-0.0278997328132391,90.3447,0.0383207801846855
USA,2021,1.2975310087204,-0.0144246527925134,91.2684,0.134892943181871
USA,2022,1.25549554824829,0.00870068650692701,92.2016,0.3001399910260605
USA,2023,1.21720099449158,0.029424749314785,93.1444,0.10581691918724401
USA,2024,,,,0.0474762602426035
ZAF,1996,1.02049589157104,-0.379187554121017,0.842,0.2677059860426655
ZAF,1997,,,1.63,0.32988880562613654
ZAF,1998,0.624708473682404,-0.546053230762482,2.91,0.24402726051867552
ZAF,1999,,,4.12,0.159074452555849
ZAF,2000,0.645909368991852,-0.227864950895309,5.34856,0.16694795679991353
ZAF,2001,,,6.34662,0.18509474152480448
ZAF,2002,0.607831418514252,-0.254789859056473,6.71032,0.3747356890498
ZAF,2003,0.599580049514771,-0.312842577695847,7.00769,0.1839712070344
ZAF,2004,0.559140086174011,-0.131729558110237,8.42512,0.13460197189288445
ZAF,2005,0.567057847976685,-0.162092119455338,7.48854,0.0031426541117135056
ZAF,2006,0.325101375579834,0.0470300763845444,7.60714,0.06219538270961451
ZAF,2007,0.283431172370911,0.215346544981003,8.06538,0.20889060740469398
ZAF,2008,0.332178503274918,0.049528993666172,8.43,0.3954992280027335
ZAF,2009,0.310807675123215,-0.114492610096931,10.0,0.26190476190476353
ZAF,2010,0.191702410578728,-0.0294270031154156,24.0,0.10337477797513199
ZAF,2011,0.217559650540352,0.0240315701812506,33.97,0.15004266939750951
ZAF,2012,0.170115306973457,-0.0253867004066706,41.0,0.18689856957086848
ZAF,2013,0.30602103471756,-0.0462945364415646,46.5,0.18900845503458852
ZAF,2014,0.165043815970421,-0.146388962864876,49.0,0.20664147652957449
ZAF,2015,0.0873290970921516,-0.220544874668121,51.9191,0.12593454744625499
ZAF,2016,0.101402580738068,-0.149085000157356,54.0,0.23014542119743447
ZAF,2017,0.0707959234714508,-0.284803628921509,56.1674,0.15930932776207302
ZAF,2018,0.103647440671921,-0.237546816468239,62.4,0.12549363243369652
ZAF,2019,0.127971157431602,-0.2832210958004,69.6969,0.10514253773057498
ZAF,2020,0.0465345233678818,-0.252867221832275,72.1128,0.061619415807559495
ZAF,2021,-0.0701303705573082,-0.750981450080872,74.9686,0.130937272443568
ZAF,2022,-0.109027646481991,-0.681386351585388,75.4556,0.2519936362732405
ZAF,2023,-0.256946682929993,-0.665642023086548,75.6592,0.203762192289828
ZAF,2024,,,,0.11805762325948148
